vertex,A8:F7:D9:59:B7:81,A8:F7:D9:59:B7:A1,A8:F7:D9:5A:4A:21,A8:F7:D9:5A:4A:41,A8:F7:D9:5A:4A:A1,A8:F7:D9:5A:4F:01,A8:F7:D9:5A:4F:21,A8:F7:D9:5A:4F:61,A8:F7:D9:5A:4F:81,A8:F7:D9:5A:50:21,A8:F7:D9:5A:50:41,A8:F7:D9:5A:59:B1,A8:F7:D9:5A:59:D1,A8:F7:D9:5A:5B:91,A8:F7:D9:5A:5B:B1,A8:F7:D9:5A:5B:F2,A8:F7:D9:5A:5C:12,A8:F7:D9:5A:5E:C1,A8:F7:D9:5A:5E:E1,A8:F7:D9:5A:5E:F1,A8:F7:D9:5A:5F:11,A8:F7:D9:5A:61:51,A8:F7:D9:5A:69:11,A8:F7:D9:5A:69:31,A8:F7:D9:5A:6A:C1,A8:F7:D9:5A:6A:E1,A8:F7:D9:5A:6B:81,A8:F7:D9:5A:6B:A1,A8:F7:D9:5A:70:31,A8:F7:D9:5A:70:51,A8:F7:D9:C4:3D:B1,A8:F7:D9:C4:3D:D1,A8:F7:D9:C4:50:A1,A8:F7:D9:E6:C5:21,A8:F7:D9:E6:C5:41,A8:F7:D9:E6:CD:91,A8:F7:D9:E6:CD:B1,A8:F7:D9:E6:D0:F1,A8:F7:D9:E6:D1:11
lib,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-70,-100,-100,-100,-100,-100,-78,-100,-75,-69,-100,-100,-70,-65,-100,-100,-100,-82,-100,-100,-100,-100,-100
37,-100,-72,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-71,-68,-100,-100,-100,-100,-100,-80,-100,-68,-71,-100,-100,-63,-71,-100,-100,-100,-84,-100,-100,-100,-100,-100
35,-100,-76,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-79,-70,-100,-100,-100,-100,-100,-83,-70,-75,-71,-81,-100,-77,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
36,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-67,-100,-100,-100,-100,-100,-81,-72,-73,-73,-81,-100,-78,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
108,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-74,-100,-100,-100,-100,-100,-100,-100,-81,-76,-100,-100,-81,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
34,-79,-75,-100,-100,-100,-100,-100,-83,-100,-100,-100,-83,-100,-100,-100,-73,-68,-100,-100,-100,-100,-100,-67,-67,-66,-63,-78,-64,-78,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
33,-79,-69,-100,-100,-100,-100,-100,-81,-100,-100,-100,-83,-100,-100,-100,-75,-70,-100,-100,-100,-100,-100,-75,-71,-69,-67,-77,-100,-77,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
32,-78,-68,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-78,-68,-100,-100,-100,-100,-100,-75,-71,-61,-60,-100,-100,-81,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100
27,-83,-75,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-80,-72,-100,-100,-100,-100,-100,-72,-70,-59,-58,-82,-71,-81,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
28,-81,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-71,-74,-64,-60,-81,-100,-78,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
29,-82,-75,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-100,-100,-100,-79,-72,-100,-100,-100,-100,-100,-77,-68,-67,-60,-100,-100,-78,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100
132,-83,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-80,-71,-100,-100,-100,-100,-100,-78,-100,-62,-54,-100,-100,-81,-78,-100,-100,-100,-84,-70,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-79,-100,-66,-64,-100,-100,-86,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
30,-100,-76,-100,-100,-100,-100,-100,-83,-100,-100,-100,-82,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-77,-100,-68,-62,-100,-100,-81,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-72,-100,-100,-85,-100,-100,-100,-79,-100,-100,-100,-81,-74,-100,-100,-100,-100,-100,-76,-73,-60,-53,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-72,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-69,-67,-100,-100,-100,-100,-100,-74,-76,-60,-59,-100,-100,-75,-72,-100,-100,-100,-81,-100,-100,-100,-100,-100
down1,-82,-67,-100,-100,-100,-100,-100,-83,-76,-100,-100,-78,-100,-100,-100,-76,-71,-100,-100,-100,-100,-100,-65,-67,-53,-53,-100,-100,-79,-75,-100,-100,-100,-79,-100,-100,-100,-100,-100
26,-82,-72,-100,-100,-100,-100,-100,-81,-77,-100,-100,-82,-100,-100,-100,-82,-73,-100,-100,-100,-100,-100,-77,-74,-50,-44,-100,-100,-83,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-84,-72,-100,-100,-82,-100,-100,-100,-83,-73,-100,-100,-100,-100,-100,-76,-75,-59,-55,-100,-100,-84,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
25,-100,-100,-100,-100,-100,-100,-100,-85,-72,-100,-100,-81,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-77,-74,-55,-50,-100,-100,-80,-78,-100,-100,-100,-82,-76,-100,-100,-100,-100
111,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-83,-74,-100,-100,-100,-100,-100,-76,-76,-53,-48,-100,-100,-83,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100
