Vertex,00:b8:c2:d0:c2:a2,02:68:eb:44:57:42,08:be:ac:19:37:7d,08:be:ac:24:d0:44,18:e8:29:17:6a:66,18:e8:29:18:6a:66,1a:e8:29:17:6a:66,1a:e8:29:18:6a:66,3c:37:86:b3:00:cf,3c:84:6a:62:09:9b,3e:e9:0e:d5:7e:1a,72:5a:0f:f9:4c:d5,86:2a:fd:9c:02:bb,86:69:93:38:2b:03,a0:a3:f0:d6:67:ce,a8:f7:d9:59:c9:b1,a8:f7:d9:59:c9:b2,a8:f7:d9:59:c9:d1,a8:f7:d9:59:c9:d2,a8:f7:d9:59:cc:e1,a8:f7:d9:59:cc:e2,a8:f7:d9:59:cd:01,a8:f7:d9:59:cd:02,a8:f7:d9:59:cd:41,a8:f7:d9:59:cd:42,a8:f7:d9:59:cd:61,a8:f7:d9:59:cd:62,a8:f7:d9:59:ce:f1,a8:f7:d9:59:ce:f2,a8:f7:d9:59:cf:11,a8:f7:d9:59:cf:12,a8:f7:d9:5a:59:51,a8:f7:d9:5a:59:52,a8:f7:d9:5a:59:71,a8:f7:d9:5a:59:72,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:92,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:b2,a8:f7:d9:5a:5d:01,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5e:f2,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:5f:12,a8:f7:d9:5a:60:41,a8:f7:d9:5a:60:42,a8:f7:d9:5a:61:31,a8:f7:d9:5a:61:32,a8:f7:d9:5a:61:51,a8:f7:d9:5a:61:52,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:22,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:c5:42,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d0:f2,c0:25:2f:3f:8f:f0,c0:25:2f:8e:f7:d4,ca:5a:cf:c7:e1:91,ca:c9:a3:ac:0a:f3,ca:c9:a3:ac:ca:8b,d8:0d:17:49:97:fe,f0:b4:d2:34:55:72
298-299-297-273-322,-100,-100,-100,-100,-100,-57,-53,-100,-100,-100,-88,-100,-70,-62,-100,-72,-72,-78,-78,-100,-100,-100,-100,-100,-100,-84,-85,-100,-100,-76,-76,-47,-47,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-58,-100
298-299-297-273-322,-100,-100,-100,-100,-100,-57,-53,-100,-100,-100,-88,-100,-70,-62,-100,-72,-72,-78,-78,-100,-100,-100,-100,-100,-100,-84,-85,-100,-100,-76,-76,-47,-47,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-58,-100
298-299-297-273-322,-100,-85,-100,-100,-51,-56,-100,-56,-100,-100,-100,-100,-70,-66,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-76,-76,-47,-47,-61,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-59,-100
298-299-297-273-322,-100,-85,-100,-100,-51,-56,-100,-56,-100,-100,-100,-100,-70,-66,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-76,-76,-47,-47,-61,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-59,-100
298-299-297-273-322,-100,-100,-100,-100,-59,-58,-100,-100,-100,-100,-100,-100,-73,-63,-100,-100,-77,-79,-79,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-76,-76,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-56,-100
298-299-297-273-322,-100,-100,-100,-100,-59,-58,-100,-100,-100,-100,-100,-100,-73,-63,-100,-100,-77,-79,-79,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-76,-76,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-56,-100
298-299-297-273-322,-100,-100,-100,-100,-50,-55,-100,-100,-100,-100,-100,-100,-70,-62,-100,-71,-71,-80,-80,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-75,-76,-47,-48,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-58,-100
298-299-297-273-322,-100,-100,-100,-100,-50,-55,-100,-100,-100,-100,-100,-100,-70,-62,-100,-71,-71,-80,-80,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-75,-76,-47,-48,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-58,-100
298-299-297-273-322,-100,-100,-100,-100,-49,-55,-100,-100,-100,-100,-100,-100,-70,-63,-100,-71,-72,-77,-77,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-76,-76,-100,-100,-64,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-56,-100
298-299-297-273-322,-100,-100,-100,-100,-49,-55,-100,-100,-100,-100,-100,-100,-70,-63,-100,-71,-72,-77,-77,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-76,-76,-100,-100,-64,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-56,-100
t338,-100,-100,-100,-100,-51,-58,-51,-58,-100,-100,-100,-79,-55,-66,-100,-100,-100,-81,-81,-71,-71,-77,-77,-100,-100,-100,-100,-100,-100,-85,-85,-39,-39,-55,-57,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-63,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-58,-100
t338,-100,-100,-100,-100,-55,-59,-56,-60,-100,-100,-100,-78,-59,-66,-100,-100,-100,-84,-84,-69,-69,-76,-76,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-55,-55,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-61,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-57,-100
t338,-100,-100,-100,-100,-55,-59,-56,-60,-100,-100,-100,-78,-59,-66,-100,-100,-100,-84,-84,-69,-69,-76,-76,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-55,-55,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-61,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-57,-100
t338,-100,-100,-100,-100,-58,-56,-100,-100,-100,-100,-100,-77,-58,-68,-100,-100,-100,-84,-84,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-57,-100
t338,-100,-100,-100,-100,-58,-56,-100,-100,-100,-100,-100,-77,-58,-68,-100,-100,-100,-84,-84,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-57,-100
t338,-100,-100,-100,-100,-56,-58,-56,-58,-100,-100,-100,-77,-59,-64,-100,-100,-100,-81,-81,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-87,-86,-38,-38,-56,-56,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-56,-100
